,coe,res,pvalue
pk_germpass,NA,9.27E-16,0.220899816
link_asi,0.01650165,-1.30E-16,0.221143273
viol2b,-0.030322783,-7.06E-16,0.221307339
ethnic2Puerto rican,-0.510447827,0.11778934,0.223703849
maugaadvisor,0.307226516,-0.021420371,0.224618983
ethnic2Slovenian,0.919419515,-0.083132215,0.224943315
maugan/a,-0.534463128,6.81E-17,0.225360696
pk_cjus2000,NA,-5.97E-18,0.225379087
pidstr3,0.073844577,5.00E-16,0.225592606
pk_cjussupreme court chei justice,-0.452484138,0.192281332,0.225592606
home_anes,0.037170605,7.36E-17,0.225969502
ethnic1not,-1.344649277,-9.87E-17,0.226779754
pk_germidon't know,NA,2.12E-16,0.226779754
maugaadministration,0.435175388,-0.040894832,0.227262809
pk_cjuschief of supreme court,-0.331168095,-0.162763081,0.227363833
maugalt,-0.780054391,-0.148853804,0.228638685
pidstr1,-0.058443587,-0.248865131,0.229008244
pk_cjussupreme court,0.034196812,0.024228578,0.229008244
viol3_both,0.011812626,0.088508819,0.229153532
ethnic2American Italian,-0.021861681,0.271786559,0.229952052
"pk_germprime minister, germany",NA,-0.285713145,0.229952052
argument,-0.090954266,-0.158723796,0.230628317
pk_cjusleader,NA,0.143388379,0.230628317
expavoid,-0.022615889,-0.194871727,0.230701584
pk_cjusdeputy solicitor-general in the united s,NA,-2.72E-16,0.231147041
maugaceo,-0.165588107,8.34E-18,0.231203653
ethnic1GermanFrench,-0.383783071,-0.133235638,0.232544242
pk_germdsvsdvs,NA,-0.326749549,0.232544242
ethnic1caucasion,-0.542916161,-6.80E-16,0.233438947
pk_germchancellpr of germany,NA,3.99E-16,0.233438947
groupid3b_hpi,NA,-7.77E-17,0.233628657
pk_cjuschief justice of us supreme court,-0.052594444,1.55E-16,0.233676373
pk_cjuschief justice of the supreme court of us,NA,-2.73E-17,0.234828363
maugachill,-7.691257105,2.44E-16,0.235037292
maugainformation of tecenology,-0.573122587,-1.69E-16,0.235068277
ethnic2Japanese & white,0.768423246,0.184195588,0.235561081
pidstr1_dr,0.108652148,-1.90E-16,0.235561081
ineqinc1a,-0.028247109,-0.001144014,0.235918727
pk_cjusrep,NA,-6.41E-17,0.235918727
pk_cjus2004,NA,-0.050927829,0.235954013
ethnic2sijvoap vjpwv;wVWbre be be,2.01780329,-0.007735521,0.236757063
groupid2b_asi,-0.120845987,0.007735521,0.237392238
pk_cjusgggegeg,NA,2.79E-16,0.237523966
maugagov of hawaii,-1.61773905,-1.05E-16,0.237852138
relig1_11_TEXTChrustian,0.983192348,2.08E-16,0.238530577
pk_cjustreasury,-1.194937216,4.37E-17,0.238530577
groupid3b_bla,-0.046518074,-3.40E-16,0.23881122
impact7,-0.032274822,-0.03248998,0.238815496
pk_germ9,NA,0.028586655,0.238815496
maugaforeign,NA,-4.00E-17,0.239055265
pk_cjus50,-0.945064493,-8.05E-17,0.239582017
ethnic1Eur6,-0.415450282,4.30E-17,0.239955729
pk_germdemocrat,0.236211579,1.71E-16,0.239955729
pk_cjushygygyugyu,NA,7.00E-17,0.240303304
maugalandine,0.961331019,-0.143740905,0.242464043
groupid3b_lat,-0.026756344,-0.06532776,0.242757677
ethnic1Polish,-0.285777835,-0.00200728,0.243498655
pk_germjube,0.862727592,6.55E-17,0.243498655
ethnic1white italian,0.50660547,-0.128145189,0.244779197
pk_germpolitica,NA,-9.64E-16,0.244779197
ethnic1Irish indian,-0.718949282,9.27E-16,0.245096288
pk_germgerman minister,0.182181879,1.51E-16,0.245096288
pk_cjusgood service,NA,5.97E-17,0.245468046
pk_cjuser,NA,-1.23E-17,0.246305227
pk_cjus is the current president of the supreme,NA,2.12E-16,0.24744291
ethnic1european,0.221843644,1.55E-17,0.247918565
pk_germdemocratic,0.684519019,0.157502605,0.247918565
pk_cjusevangelist,0.287121179,5.01E-17,0.248091245
mauga4566,NA,0.314230338,0.24851763
pk_cjusgreat,0.119430124,6.92E-16,0.248933703
maugageneral attorney,1.15145443,-0.222079218,0.249320125
maugalieutunant governor american samoa,0.133414358,-3.42E-17,0.250833714
expfight,0.022543057,-7.58E-17,0.251902207
ethnic1Haitian,0.650226545,-2.90E-16,0.252507589
pk_germex german pm,NA,0.072018891,0.252507589
ethnic2Irish and Italian,1.057540444,-1.96E-16,0.253326458
FEEDBACK_GROUP,-0.098846678,-0.219390593,0.253326458
hlthcare2,0.027115027,4.63E-17,0.253546235
pk_cjussecretary,0.54825536,9.67E-17,0.253546235
"maugai have no idea, never heard of it",NA,-0.088815855,0.253989818
ethnic1White European descent,0.440282846,-0.129849014,0.254768877
pk_germpolice,NA,2.49E-16,0.254768877
pk_cjuses un abogado y jurista estadounidense,NA,-9.48E-16,0.255080358
maugano comment,-1.374048982,0.208459489,0.257146404
mauga1845,1.260941552,3.65E-16,0.258441244
ethnic2blacks,1.055587279,-0.051973415,0.258935488
pk_germsecretary of defense,NA,-3.00E-16,0.258935488
maugasenate homeland security committee,NA,-2.67E-16,0.259690963
ethnic1Puerto Rican,-0.925933091,-0.11703157,0.260427244
pk_germla so oficina particular ta afatada con,NA,0.073634913,0.260427244
moralsup2,0.034548101,-0.160601068,0.261242095
ethnic2white amercian,0.009700517,7.41E-16,0.263148112
maugachef,-0.691998707,-4.88E-17,0.263235768
pidlean,0.238434937,-0.14320217,0.263592529
pk_cjussupreme coiurt,NA,5.09E-18,0.263592529
ethnic1i like all,0.528625518,7.39E-17,0.265080302
pk_germgerman chancelle,NA,8.45E-18,0.265080302
ethnic1Scotish Irish,-0.485861975,7.10E-16,0.265989062
pk_germlobbyist,NA,8.36E-16,0.265989062
votemail2,-0.03394904,-0.142024866,0.266034147
"pk_cjusjudge,",NA,-0.290033957,0.266034147
pk_cjuschief,0.394065058,-0.025827738,0.267590902
pk_cjus1,NA,-0.060892591,0.26822076
ethnic2JEWISH,0.825697505,-0.135927339,0.268333566
pidstr2_ind,NA,0.068971428,0.268333566
maugavfr nu cdwe,NA,-0.122467569,0.268993542
maugadog catcher of honolulu,-0.005304192,1.23E-16,0.269773728
hlthcare1,-0.02040192,-0.087574339,0.269947027
pk_cjussecetry of state,-2.877576794,-4.25E-17,0.269947027
relig1_11_TEXTAfrican Traditional Religion,-0.759225221,-2.18E-16,0.270485639
pk_cjussupreme court judge,0.04580631,0.011631764,0.270485639
selfcensor,-0.037414174,-0.05327688,0.271052163
pk_cjusspecial counsel,0.338457319,-0.027603524,0.271052163
maugaamerican samoa,0.219365485,2.99E-16,0.271214464
ethnic2taiwanese,0.575314467,4.80E-17,0.2732055
ethnic1White American,0.018124106,-1.11E-13,0.273515936
pk_germpm of germany,-0.472130798,0.236116759,0.273515936
relig1_11_TEXTBorn Again Christian,-1.204990554,-2.35E-16,0.274953827
pk_cjussupriem court,0.753709254,-1.06E-15,0.274953827
ethnic1Canadian,-0.093709516,-3.33E-17,0.27500111
pk_germchancellor of the germany,NA,0.004323437,0.27500111
maugai__ not sure,-1.049558207,-9.54E-17,0.275539346
expholiday,-0.058076401,-2.72E-16,0.275553753
selfmon3,-0.060282522,-0.145421311,0.275657805
diversity7,0.020825721,-0.076266057,0.276404969
pk_cjussenetor,-1.405172938,2.85E-17,0.276404969
ethnic2Ckcjc,5.954583823,-0.039376511,0.276521589
pk_germstaffer,-1.087986898,-8.47E-16,0.276521589
maugafrench liason,-0.727394813,-0.096731773,0.276761945
maugaperuvian magistrate,0.282437556,-9.11E-16,0.276907365
ethnic2Whitr,-0.351141791,-6.17E-16,0.278267143
childrear1,-0.066021741,0.072709729,0.278817708
pk_cjusstate rep,NA,6.92E-17,0.278817708
ethnic1dont know,-0.237626493,-0.173512196,0.279148045
pk_germchemists,NA,-0.278742804,0.279148045
ftobama1,0.000731085,-0.149038004,0.279613044
pk_cjuslike,3.325475942,-0.053684991,0.279613044
maugadon'tknow,0.723634815,-0.041482096,0.279700032
ethnic1white northeastern european,0.618848684,-0.052873317,0.281563017
pk_germpolitical,NA,0.049601762,0.281563017
ethnic1Irish italian,-0.192070082,4.45E-16,0.282860473
pk_germgerman official,NA,7.68E-17,0.282860473
maugawhos that ?,NA,-0.139487926,0.282878363
maugarep,0.531020693,-0.064043787,0.283108266
stress2,-0.013835787,1.11E-15,0.283439751
maugapresident of mexico,0.296729343,-0.038040328,0.283604165
speech2,0.047598299,-1.81E-16,0.2843808
pk_cjusit is the great,NA,0.020117828,0.284939758
ethnic2i dont,0.03550931,-2.06E-18,0.285359958
asians_1,-0.007684911,-5.77E-16,0.285359958
maugatreasure,0.936871142,-1.42E-15,0.287060267
maugaconstruction,NA,-0.06945638,0.287807675
maugasenate board member,0.128027159,0.324769194,0.287876122
ethnic2Japanese,0.573393321,-0.142814989,0.288222307
pk_index,NA,-0.114614756,0.288222307
maugabuisness cooperation,-1.119745677,0.10793286,0.288310239
impact9,-0.044339916,0.158758974,0.288693955
pk_germa german politician serving,NA,-2.62E-16,0.288693955
maugalaywer,-0.607810782,0.056617921,0.289820189
maugadon't know at this moment,-1.196475332,-7.07E-17,0.289858793
ethnic1English American,0.508031067,0.040020429,0.290300064
pk_germcongressional,NA,4.73E-16,0.290300064
maugacongressmen,0.048552966,1.67E-16,0.29035516
mauga........,-1.107480131,-2.30E-16,0.290591683
ethnic1No idea,0.6047335,3.28E-17,0.290732896
pk_germi dont no,NA,0.015356735,0.290732896
exparrest,-0.068940473,-3.44E-17,0.290784682
pk_cjuscapt,-0.245966066,3.34E-16,0.290808296
maugapolitician,0.682248969,-0.00740463,0.291739599
rural2,0.030794206,0.031258941,0.291862046
pk_cjussumperm court,NA,3.79E-18,0.291862046
groupid2b_whi,0.073073666,1.54E-17,0.292127887
ethnic2gde,0.403272272,-2.06E-16,0.292241047
pk_germwhi knows,NA,-0.230411775,0.292241047
pk_cjus999,NA,-1.77E-17,0.292695967
maugapress secretary,NA,1.90E-16,0.293232431
knowtran2_5,-0.097238531,4.94E-16,0.293659574
"ethnic1English, Irish, and German",0.30837111,-3.48E-17,0.293843474
pk_germcourt justice,0.859705394,-8.12E-17,0.293843474
pk_cjuschief justice in the white house,NA,7.84E-17,0.294021091
maugaprine minister,NA,-9.48E-17,0.294182168
ethnic2good,0.580284189,-0.304047015,0.295099175
pk_spend,-0.019397562,2.66E-16,0.295099175
ethnic1Latino,2.167549217,-2.42E-16,0.295134701
pk_germgovernment of germany,-0.841291912,4.22E-16,0.295134701
maugahawaiian representative,NA,-5.46E-19,0.295229396
maugaus senator for american samoa,0.887348714,2.18E-16,0.296594735
pk_cjus supreme court,NA,0.033610784,0.297496497
ethnic2american from german,-0.325837156,3.92E-16,0.297646483
pk_germprime minister of england,-0.324448441,-2.81E-16,0.297646483
maugaidk,-0.185577093,3.21E-19,0.298256468
mauga general assembly,0.522359141,2.80E-16,0.299075467
pk_cjusgeneral,-0.812284887,6.84E-17,0.29925195
maugasenet,NA,1.52E-16,0.299357406
pk_cjuschairman of the board,NA,0.072599638,0.299640861
"pk_cjuschief justice, us supreme ct.",NA,-1.42E-17,0.299851961
maugalieutenant governor of america samoa since 2013,NA,-0.019418343,0.302379572
maugalet. gov.,NA,5.23E-16,0.302762363
maugavp,-0.149374055,-0.063759859,0.30295324
intelsup1,0.017197776,7.03E-16,0.303733886
maugalt. gov. of american samoa,0.539859901,0.075475368,0.303868942
ethnic2caucasico,-0.419934338,3.63E-16,0.303925739
pk_germsisjsjshshshsh,NA,6.93E-17,0.303925739
maugadknt,NA,4.09E-16,0.304231546
link_whi,-0.052450167,-8.86E-17,0.304278233
childrear2,0.058088707,-0.039596808,0.304799377
pk_cjusstate representative,0.087678588,-2.00E-16,0.304799377
ethnic2American Indian,0.586853752,5.47E-16,0.306253946
pk_germprime minister of germany,0.060768949,-2.42E-16,0.306253946
knowtran1,-0.092259681,3.10E-16,0.306839258
fthisp,0.000877021,0.497496136,0.307216181
pk_cjusnbv,NA,0.100663945,0.307216181
"ethnic2Scotch-Irish, Scotch",0.03940012,0.022248054,0.30827694
socmed_4,-0.078055364,1.58E-16,0.309120012
pk_germ2001,NA,3.26E-17,0.309120012
ethnic2GERMAN,-1.509691051,4.06E-16,0.309832339
pk_germwho cares,NA,-5.11E-16,0.309832339
ftbiden1,-0.000511936,4.37E-17,0.30984662
pk_cjuslobbyist,NA,-1.74E-16,0.30984662
pk_cjusgood and nice,NA,-3.93E-17,0.310784949
billtax1,0.024953719,1.95E-16,0.310924849
pk_cjusposition of chief justice in september 2,NA,-0.066174302,0.310924849
pk_cjus4,NA,0.323708629,0.311372847
pk_cjusbsjsjks,NA,5.98E-17,0.311714784
knowgay1,-0.076411741,5.43E-16,0.311996034
mauga0,-0.604314068,-3.40E-16,0.312096077
pk_cjusfbi,0.214270703,1.90E-17,0.312628798
ethnic1Good,0.842823965,-2.81E-16,0.313770694
pk_germengland former prime minister,1.94999356,-3.08E-16,0.313770694
"ethnic1american, none else",NA,-9.87E-18,0.314099794
pk_germcancler germany,-0.833551156,8.98E-16,0.314099794
ethnic1African American/black hebrew the real tube of judah,0.293197442,0.074380331,0.314434284
pk_germbritain,NA,4.53E-16,0.314434284
freemkt1a,-0.108473096,0.265078254,0.31453291
pk_cjuspresidential cabinet,NA,-7.10E-17,0.31453291
maugano idea,0.170370174,-8.12E-17,0.314826287
ethnic1czech,0.334625551,0.117292986,0.314935989
pk_germchanelor,NA,-0.06547889,0.314935989
maugait is the good,NA,0.042241117,0.315166811
ethnic2European,0.3417724,-8.47E-17,0.315421598
pk_germum,NA,9.62E-17,0.315421598
maugauh,NA,6.66E-16,0.316088785
ethnic2nothing particular,0.127347942,-7.16E-17,0.316821211
pk_cjusch8ef justice of the supreme court,NA,-0.15172107,0.317782028
knowgay2_6,-0.060004657,-1.01E-17,0.318082568
maugachief,0.065596652,3.54E-16,0.318693143
maugasamioa lieutenant governor,0.141330941,-9.92E-17,0.31999025
maugalt gov american samoa,NA,4.36E-16,0.320278307
mauga1945,NA,-0.017385935,0.323224432
maugaspain prime minister,0.17709079,-2.83E-17,0.323312965
"ethnic1The revised standards contain five minimum categories for race: American Indian or Alaska Native, As",0.509391611,-0.230411775,0.323372648
pk_germnit sure,0.207695183,-0.038751742,0.323372648
maugabeats me,0.015526455,-3.03E-16,0.323589438
relig1_11_TEXTIndependent baptist,-1.033266645,-0.058459779,0.324152815
pk_cjusus supreme court,NA,-7.36E-16,0.324152815
ftsanders1,0.000312513,0.186609592,0.325484381
pk_cjusmanager,NA,1.18E-16,0.325484381
pk_cjuschief justice,0.000434218,0.083450854,0.326195031
maugaindia,-0.336754637,1.15E-17,0.32626835
maugaaide,-0.609998295,0.217794315,0.326276537
ethnic2Better,-2.883978711,-0.017583516,0.326427802
pk_germrepresentive,NA,0.146405396,0.326427802
ethnic1Middle eastren,-1.427640767,-3.93E-16,0.326454869
pk_germhead of the government in germany,NA,-3.23E-17,0.326454869
pk_cjusgood,2.986713062,0.003723518,0.326879978
maugacook,1.1254653,9.93E-17,0.327211566
maugay__ll,NA,-8.48E-17,0.327415091
mauga1966,2.063480171,-4.06E-16,0.328000469
pk_cjuscongressmen,NA,-1.23E-16,0.328166423
ethnic1Causcasian/Cherokee/Irish/Hawaiian/Scottish/English,-2.079786986,0.11962965,0.329910146
pk_germchancelor germany,NA,0.051973415,0.329910146
pk_cjuschief us supreme court justice,NA,-0.103829365,0.330487265
mauga2016,0.01283616,-2.76E-16,0.330896055
ftmetoo,0.000171821,-6.55E-16,0.330940675
pk_cjusnice,3.21294988,-3.22E-17,0.330940675
maugaaccountant,NA,1.13E-16,0.331533057
ethnic2German,0.240734491,6.60E-16,0.332531037
pk_germwho,-1.447010228,-1.78E-16,0.332531037
ethnic1Indian,-0.406233038,0.063759859,0.332942543
pk_germgerman chn,NA,1.38E-16,0.332942543
ethnic1Mex,-0.891579304,-0.041340915,0.333307271
pk_germgreat,NA,0.034682798,0.333307271
maugarepub;ican,0.27670382,-9.83E-17,0.33449726
ethnic2Filipino American,0.310980758,-2.88E-16,0.334668629
pk_germunsure,-0.08832436,2.37E-16,0.334668629
maugawork,-0.66026197,-3.17E-17,0.335861965
mauganot sire,-0.292244094,-3.93E-16,0.335986024
relig1_11_TEXT333,-3.255710177,-0.219665957,0.336193539
pk_cjussupreme court jticeus,0.639537314,0.063057314,0.336193539
maugatrash collector,0.166444243,1.55E-16,0.336931769
"ethnic2African American, Italian",2.012576657,0.080192409,0.337418221
pk_germpresident/chancellor of germany,NA,-0.199048435,0.337418221
relig1_11_TEXTGnostic student,1.704682664,2.72E-17,0.338072659
pk_cjusunited states supreme court,-0.214132271,-0.00063436,0.338072659
maugalieutenant governor of american samoa.,0.131909549,-1.29E-16,0.338130062
ftbuttigieg1,-0.000184003,-0.059390039,0.338243864
pk_cjusmaybe he's a judge?,NA,-5.53E-17,0.338243864
ethnic1Native,16.44572755,0.24833264,0.340319873
pk_germhouse of rep,0.653330991,0.268365903,0.340319873
pk_cjushouse representative,-1.61436481,-5.08E-16,0.341128034
regulate1,-0.050287557,3.26E-17,0.341382623
pk_cjusr,NA,0.179410633,0.341382623
relig1_11_TEXTFollower of Yahushua,-1.047944621,0.178675666,0.341587355
pk_cjusun sure,NA,-0.214805187,0.341587355
relig1_11_TEXTSeventh Day Adventist,-1.824752793,-0.039607966,0.342173747
pk_germ the chancellor of germany,NA,0.111736674,0.342173747
maugasenate minority leader,NA,-2.34E-16,0.342834419
maugarepresentative,0.541892829,-0.077332186,0.343753707
maugapublic relations,0.296088187,0.076028652,0.343807323
ethnic1African-American,0.120995983,2.84E-16,0.345020747
pk_germbritish prime minister,-0.763921141,-4.79E-16,0.345020747
ethnic1Lithuanian,-0.634031163,-0.072825566,0.345216411
pk_germgovernor of georgia,NA,4.17E-16,0.345216411
pk_cjus5,NA,0.00119628,0.345589905
pk_cjus1997,NA,-1.71E-16,0.345640973
pk_cjusda,1.741180478,-1.11E-16,0.345646745
ethnic1Armenian,-0.099301822,-5.66E-17,0.346170967
pk_germcha cellor,NA,-4.21E-16,0.346170967
ethnic2Anglo-Saxon,0.425076683,-8.54E-17,0.346602806
pk_germprincese,NA,-0.213644339,0.346602806
maugaadviser,-0.021516035,-1.72E-15,0.348171241
healthcarepres7,0.029111562,3.48E-16,0.348735566
pk_cjusnot,NA,-1.54E-16,0.348735566
maugaking turd,NA,0.105554846,0.3490909
maugalt. governor of samoan,-0.17918029,-0.220759113,0.349412666
latin1,-0.082147416,-0.179098895,0.349870002
ethnic1I am 1/4 of 4 euro groups,1.014444463,2.24E-16,0.350526724
pk_germformer british pm,NA,6.81E-16,0.350526724
pid2r,-0.013782711,0.242929331,0.350929662
pk_cjussupreme,-0.153603221,0.182629036,0.350929662
ethnic2Ethnic Jew,-0.403063317,1.43E-16,0.3516068
pk_germuk,NA,0.037406184,0.3516068
ethnic2w qweqw,-1.258487428,-1.04E-16,0.352691498
knowtran2_1,-0.265645031,1.12E-15,0.352767675
pk_cjuscheif justuce,0.840402201,-6.55E-16,0.352818484
pk_cjusgeneral attorney,NA,1.37E-17,0.353081164
pk_cjuscheif justice of supreme court,0.533700708,3.15E-17,0.353302354
ftlaborunions,0.000328576,2.08E-16,0.353637781
pk_cjusno ide,NA,3.73E-16,0.353637781
mauga2001,-0.408321928,-0.109604479,0.353909314
pk_cjuschief of the united states,0.377748442,2.62E-16,0.354320049
bshonest,-0.041789239,-4.68E-17,0.354492232
pk_cjuspolitical,0.231577248,1.03E-15,0.354492232
"ethnic1SPANISH, Have many relatives in 8 Cities in Spain.",0.11080125,2.37E-16,0.355044642
pk_germn/a,-1.416169502,-2.00E-16,0.355044642
ethnic2usaa,-0.273597155,2.32E-16,0.355581176
relig1_11_TEXTself confident enough that I don't need an "imaginary friend",-0.967089838,1.11E-17,0.356202462
pk_germ senitor,NA,-0.159288712,0.356202462
pk_cjusdon;t know,-0.872683033,0.032333057,0.356550906
duepro4,-0.033114881,-0.004064188,0.356728509
mauga//,-0.156729887,-3.58E-17,0.356730021
maugan n,NA,-3.38E-17,0.356886136
ethnic2eastern European,0.449117853,-0.063211342,0.357285617
pk_germthe german chancellor,NA,0.249340589,0.357285617
ethnic1usa,-0.834354934,0.050537465,0.357853412
pk_germnone now,-0.229811222,-4.54E-17,0.357853412
pk_cjus1990,NA,-9.21E-17,0.358395446
ethnic2Africa American,1.920283602,-2.30E-16,0.359426951
pk_germpresident,0.405880731,0.031417168,0.359426951
groupid2a_whi,-0.033408341,-2.61E-16,0.361303415
abort_imp,-0.018178772,-0.217023631,0.36169391
pk_cjussecurity analyst,NA,-1.09E-18,0.36169391
pk_cjusjidge,NA,-3.94E-17,0.361740644
pk_cjus???????,0.365912897,0.207440421,0.361874995
maugachicken,1.960244567,0.127640088,0.361923987
maugasome office,0.791952129,-9.20E-05,0.361984454
ethnic13rd generation,1.75288844,9.71E-17,0.362566922
pk_germadvisor,NA,4.63E-17,0.362566922
mauga1987,0.655640944,1.34E-16,0.362981204
race1b_2,-1.3414021,-2.17E-16,0.363031259
maugawar,0.452527383,1.37E-16,0.363982542
ethnic1nothing to say,0.482741282,-0.089134917,0.364498383
pk_germisn't she a comedian?,NA,-4.98E-16,0.364498383
ethnic2greek,-0.798102067,0.065410425,0.365823347
whites_3,-0.020364045,-0.247057091,0.365823347
maugapresident of an african nation,-0.777919618,0.029878477,0.366111244
maugafry cook,NA,2.62E-16,0.36654028
ethnic1No other,-0.935331376,3.28E-17,0.368207377
pk_germi dont' know.,NA,2.78E-17,0.368207377
maugadfsff sdfsdff,NA,0.071209382,0.368324492
maugawho knows,-0.302049376,-2.75E-16,0.369064622
maugapreside t,0.056134292,-0.018575523,0.369289061
groupid1a_hpi,-0.795620018,-5.15E-17,0.369380563
maugapresident of guam,0.358181856,-4.96E-17,0.369596984
pk_cjuschief justice of us,0.201730668,-0.062243959,0.370181849
ethnic1Italian,0.101368732,-0.104901727,0.371687831
pk_germgermany chanslor,NA,0.05909271,0.371687831
ethnic1Scottish and German,-0.315033748,5.14E-16,0.37178289
pk_germmanufacture,NA,4.38E-17,0.37178289
maugamember of house,NA,-6.87E-17,0.372144563
link_his,0.145520499,0.08578071,0.372281389
pk_cjuschief of the supreme court,NA,-5.06E-16,0.372316161
pk_cjuschief justice of the united states,0.079284333,-7.11E-17,0.372453188
maugatsar ofrussia,-0.627612489,-0.049597223,0.373241915
link_bla,-0.216509294,-2.40E-16,0.374417515
ethnic1black,0.296452693,6.32E-17,0.375276219
pk_germchancellor for germany,NA,-8.86E-17,0.375276219
ethnic2nathing,-0.394148713,-1.41E-16,0.376184189
admit,-0.018400604,-8.37E-17,0.376891948
maugafries,0.958900032,-3.05E-16,0.376974941
lcself,0.017286147,-0.104014538,0.377688955
pk_cjuspresident of mexico,NA,0.074190585,0.377688955
ethnic1Nothing really,-0.189954871,-6.17E-17,0.378333994
pk_germis veir cool,NA,3.75E-16,0.378333994
ethnic2No,0.948215387,-4.88E-16,0.379023448
whitejob,0.01966478,-2.05E-17,0.379784181
relig1_11_TEXTCharismatic,1.006661023,0.002836365,0.379822946
pk_cjusthe cheif justice of the superme court,NA,0.033892145,0.379822946
relig1_11_TEXTRastafarian,-0.640809463,-0.010555607,0.380012873
pk_germ i dont know,NA,2.19E-16,0.380012873
ethnic2white American,0.999485045,2.59E-16,0.380036478
ethnic2dutch,0.285295973,-0.267126203,0.380050266
pk_germthe current government of germany,NA,0.087257964,0.380050266
forgive1a,-0.038553243,-0.276896224,0.380122505
pk_cjusi dont no,-0.579144882,-5.48E-17,0.380984996
"pk_cjuschief justice, u.s. supreme court",0.410338429,4.66E-18,0.380995956
ethnic1Punjabi,NA,0.087257964,0.381768429
pk_germlawyer,-0.780712968,4.62E-17,0.381768429
maugagovornor,NA,-3.29E-16,0.381926482
ethnic2AMERICAN,0.471039811,0.068971428,0.382112276
pk_germprime minister (?) of germany,NA,-1.64E-16,0.382112276
mauga1980,-0.047288211,-7.70E-17,0.382713007
maugasecurity,0.37180306,-0.021388897,0.383630523
maugalegislator,0.444609132,0.114234299,0.384292712
groupid2a_asi,0.181027479,-0.134961589,0.384921731
groupid3b_asi,0.066251254,3.11E-16,0.385442987
relig1_11_TEXTAnglican,-0.73943169,5.08E-17,0.386334109
pk_cjussupreme court justice,0.044088676,1.83E-16,0.386334109
ethnic1Causasian,1.73526006,-0.069073819,0.38704233
pk_germchancelor  germany,NA,0.109471945,0.38704233
maugacabinet personnel,-0.760564934,0.080702655,0.387254074
pk_cjusfhfdyd,-0.259873729,-2.87E-16,0.3877589
femid2_anti,0.01428175,2.30E-16,0.390928905
maugasurpreme court,0.115403424,0.111071904,0.391863836
ethnic1German/Irish,0.586766174,-0.013271963,0.392614368
pk_germdontknow,NA,0.150120524,0.392614368
pk_cjusfox news,-0.601498436,-4.96E-17,0.39279473
ethnic1Black,0.041831594,3.08E-16,0.394200518
pk_germchancellor germany,-0.031522325,-0.150573449,0.394200518
maugat,NA,9.13E-14,0.394207076
ethnic1NORWEGIAN,0.557309899,0.105018734,0.394796037
pk_germidk,-0.220798102,5.96E-18,0.394796037
knowgay2_4,0.060435165,0.142320341,0.395405642
pk_cjusgovonor of georgia,NA,0.060892591,0.396986345
ethnic1Slovakia,-0.837571083,2.92E-16,0.397533988
pk_germminister,NA,-2.56E-17,0.397533988
maugadont know or care,0.712729562,-0.078812248,0.398292389
ethnic1GOOD,-0.391214738,0.076261201,0.39996549
pk_germenglish,-1.127493979,7.63E-17,0.39996549
compro1,0.046697771,-0.433423307,0.401191552
pk_cjussheriff,NA,3.50E-16,0.401191552
maugagov of nambia,NA,0.00594744,0.401330984
pk_cjus sworn in as chief justice by justice,NA,3.59E-16,0.401416534
ethnic1jewish,-0.842354656,2.57E-17,0.401565338
pk_germgermn chancellor,0.759400703,-6.03E-17,0.401565338
pk_cjusi don not,NA,-0.087910417,0.401859609
pk_cjusbiens,NA,-6.10E-16,0.402495338
pk_cjuschief justice of the united states supre,0.462873319,3.22E-16,0.402529605
pk_cjus1970,0.711896763,3.61E-17,0.402745281
ethnic1neither,-0.277535307,-3.00E-16,0.402917423
pk_germhugs,NA,-0.086413579,0.402917423
ethnic2latino,-0.357126531,-4.37E-17,0.40316616
nonhispanic_white,NA,-2.04E-16,0.40316616
ethnic2European (Polish) AMERICAN,0.38371481,1.30E-16,0.403540005
pk_germun sure,NA,2.92E-16,0.403540005
votecount,-0.023351606,0.243304905,0.40502772
pk_cjusjudge or lawyer,NA,-5.89E-17,0.40502772
maugawho,0.153674209,-0.073556442,0.405236448
afraid,0.028094554,-0.145521595,0.405520246
pk_cjusjusge,0.070530202,-0.181051072,0.405520246
ethnic1Caucasion,-0.737149522,0.10931467,0.406610252
pk_germchancellpr of jermany,NA,0.036540864,0.406610252
maugawho cares,0.048930963,-0.174289529,0.406711516
ftwhite,0.000821208,1.45E-16,0.407952058
pk_cjusnational defense,NA,0.16184181,0.407952058
moralcert3,-0.038896715,-6.08E-17,0.40805431
pk_cjusdonr lnow,3.946538288,-0.03034807,0.408151816
relig1_11_TEXTApostolic-Christian,-1.189314659,1.34E-16,0.408227672
pk_cjussupreme court justice i'm sorry,NA,0.243304905,0.408227672
ethnic1Italian-Spaniard,-0.556470691,1.47E-16,0.408332453
pk_germgermany premiere,0.012170527,0.000586728,0.408332453
maugasenator of hawaii,1.144784389,-2.93E-16,0.409050226
ftyang1,-0.000111718,-2.88E-16,0.409268378
pk_cjusmeh,NA,-1.06E-15,0.409268378
maugajudicial,0.465761372,-8.21E-17,0.40988204
ethnic2White caucasion,1.236365503,-3.94E-16,0.410159122
ethnic1White European,-0.850358255,-1.04E-16,0.410579812
pk_germpmgermany,NA,1.41E-16,0.410579812
maugasentar,0.652748435,3.15E-17,0.410792735
maugans,0.837062537,0.018173062,0.411189205
maugaqueen,-0.238098484,-0.12063262,0.412228248
maugapriminister,-0.119411223,0.005946592,0.412522509
